Feature Family,Feature Name,Family Abbreviation,Aggregation Abbreviation,Dimension,IBSI Family code,IBSI Feature code,IBSI Aggregation code,RaCaT Feature/Family Description,FixedBin,PET_unit,CT_unit,MRI_unit,
morphology,volume,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm^3,mm^3,mm^3,
morphology,approximate volume,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm^3,mm^3,mm^3,
morphology,surface,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm^2,mm^2,mm^2,
morphology,surface to volume ratio,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm^-1,mm^-1,mm^-1,
morphology,compactness1,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--,
morphology,compactness2,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--,
morphology,spherical disproportion,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--,
morphology,sphericity,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--,
morphology,asphericity,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--,
morphology,center of mass shift,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm,mm,mm,
morphology,maximum 3d diameter,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm,mm,mm,
morphology,major axis length,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm,mm,mm,
morphology,minor axis length,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm,mm,mm,
morphology,least axis length,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,mm,mm,mm,
morphology,elongation,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--,
morphology,flatness,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--,
morphology,vol density aabb,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--,
morphology,area density aabb,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--,
morphology,vol density ombb,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--,
morphology,area density ombb,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--,
morphology,vol density aee,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--,
morphology,area density aee,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--,
morphology,vol density convexhull,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--,
morphology,area density convexhull,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,--,--,--,
morphology,integrated intensity,MORPH,--,3D,HCUG,--,DHQ4,Morphology,--,g,Hu*mm^3,--,
intensity-based statistics,mean,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--,Fstat_mean
intensity-based statistics,variance,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,(g/mm^3)^2,Hu^2,--,Fstat_var
intensity-based statistics,skewness,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,--,--,--,Fstat_skew
intensity-based statistics,kurtosis,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,--,--,--,Fstat_kurt
intensity-based statistics,median,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--,Fstat_median
intensity-based statistics,minimum,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--,Fstat_min
intensity-based statistics,10th percentile,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--,Fstat_P10
intensity-based statistics,90th percentile,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--,Fstat_P90
intensity-based statistics,maximum,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--,Fstat_max
intensity-based statistics,Interquartile range,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--,Fstat_iqr
intensity-based statistics,range,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--,Fstat_range
intensity-based statistics,Mean absolut deviation,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--,Fstat_mad
intensity-based statistics,Robust mean absolute deviation,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--,Fstat_rmad
intensity-based statistics,Median absolute deviation,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--,Fstat_medad
intensity-based statistics,Coefficient of variation,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,--,--,--,Fstat_cov
intensity-based statistics,Quartile coefficient,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,--,--,--,Fstat_qcod
intensity-based statistics,Energy,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,(g/mm^3)^2,Hu^2,--,Fstat_energy
intensity-based statistics,Root mean,STAT,--,3D,UHIW,--,DHQ4,Statistics,--,g/mm^3,Hu,--,Fstat_rms
intensity histogram,mean,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_mean
intensity histogram,variance,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_var
intensity histogram,skewness,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_skew
intensity histogram,kurtosis,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_kurt
intensity histogram,median,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_median
intensity histogram,10th percentile,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_P10
intensity histogram,90th percentile,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_P90
intensity histogram,maximum,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_max
intensity histogram,range,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_range
intensity histogram,mean absolut deviation,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_mad
intensity histogram,robust mean absolute deviation,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_rmad
intensity histogram,median absolut deviation,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_medad
intensity histogram,coefficient of variation,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_cov
intensity histogram,entropy,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_entropy
intensity histogram,uniformity,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_uniformity
intensity histogram,minimum histogram gradient,IH,--,3D,ZVCW,--,DHQ4,Intensity histogram,FB,--,--,--,Fih_min_grad
grey-level co-occurrence matrix,joint maximun,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_joint_max
grey-level co-occurrence matrix,joint average,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_joint_avg
grey-level co-occurrence matrix,joint variance,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_joint_var
grey-level co-occurrence matrix,joint entropy,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_joint_entr
grey-level co-occurrence matrix,difference average,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_diff_avg
grey-level co-occurrence matrix,difference variance,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_diff_var
grey-level co-occurrence matrix,difference entropy,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_diff_entr
grey-level co-occurrence matrix,sum average,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_sum_avg
grey-level co-occurrence matrix,sum variance,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_sum_var
grey-level co-occurrence matrix,sum entropy,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_sum_entr
grey-level co-occurrence matrix,angular second moment,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_energy
grey-level co-occurrence matrix,contrast,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_contrast
grey-level co-occurrence matrix,dissimilarity,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_dissimilarity
grey-level co-occurrence matrix,inverse difference,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_inv_diff
grey-level co-occurrence matrix,inverse difference normalised,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_inv_diff_norm
grey-level co-occurrence matrix,inverse difference moment,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_inv_diff_mom
grey-level co-occurrence matrix,inverse difference moment normalised,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_inv_diff_mom_norm
grey-level co-occurrence matrix,inverse variance,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_inv_var
